Composition;ID A;ID D;Arrival;Departure;Track A;Track D;;;;;;;;;Composition;ID A;ID D;Arrival;Departure;Track A;Track D
83011;83011;83052;0;379;906;906;24;15;23;0;;;;;1;83011;83052;8:45:00 a.m.;3:04:00 p.m.;906;906
83058;83013;83058;28;482;906;906;11;37;0;0;;;;;2;83013;83058;9:13:00 a.m.;4:47:00 p.m.;906;906
83024;83013;83024;28;349;906;906;0;56;26;0;;;;;3;83013;83024;9:13:00 a.m.;2:34:00 p.m.;906;906
81002;81002;83048;55;335;104;906;15;49;0;0;;;;;4;81002;83048;9:40:00 a.m.;2:20:00 p.m.;104;906
83021;83021;83056;88;439;906;906;11;37;0;0;;;;;5;83021;83056;10:13:00 a.m.;4:04:00 p.m.;906;906
80428;80428;80457;113;291;104;104;22;74;0;0;;;;;6;80428;80457;10:38:00 a.m.;1:36:00 p.m.;104;104
80206;80206;80207;129;351;104;104;26;20;0;0;;;;;7;80206;80207;10:54:00 a.m.;2:36:00 p.m.;104;104
83055;83055;83070;611;853;906;906;24;15;0;0;;;;;8;83055;83070;6:56:00 p.m.;10:58:00 p.m.;906;906
83059;83059;83020;627;1233;906;906;0;37;0;0;;;;;9;83059;83020;7:12:00 p.m.;5:18:00 a.m.;906;906
83049;83049;83086;693;1183;906;906;50;35;0;0;;;;;10;83049;83086;8:18:00 p.m.;4:28:00 a.m.;906;906
83057;83057;83082;709;1255;906;906;14;56;26;0;;;;;11;83057;83082;8:34:00 p.m.;10:20:00 p.m.;906;906
83069;83069;83002;779;1216;906;906;18;56;0;0;;;;;12;83069;83002;9:44:00 p.m.;5:01:00 a.m.;906;906
83014;83077;83014;828;1323;906;906;14;56;0;90;;;;;13;83077;83014;10:33:00 p.m.;6:48:00 a.m.;906;906
83016;83077;83016;828;1352;906;906;11;37;0;0;;;;;14;83077;83016;10:33:00 p.m.;7:17:00 a.m.;906;906
83071;83071;78821;867;1249;906;104;14;56;0;0;;;;;15;83071;78821;11:12:00 p.m.;5:34:00 a.m.;906;104
83067;83067;83010;876;1274;906;906;25;93;0;90;;;;;16;83067;83010;11:21:00 p.m.;5:59:00 a.m.;906;906
83079;83079;83006;883;1247;906;906;39;149;0;0;;;;;17;83079;83006;11:28:00 p.m.;5:32:00 a.m.;906;906
83007;83007;83004;978;1239;906;906;11;74;0;0;;;;;18;83007;83004;1:03:00 a.m.;5:24:00 a.m.;906;906
78884;78884;83004;996;1239;906;906;0;37;24;0;;;;;19;78884;83004;1:21:00 a.m.;5:24:00 a.m.;906;906
78810;83003;78810;1010;1210;906;906;26;20;0;90;;;;;20;83003;78810;1:35:00 a.m.;4:55:00 a.m.;906;906
83008;83003;83008;1010;1259;906;906;48;30;0;0;;;;;21;83003;83008;1:35:00 a.m.;5:44:00 a.m.;906;906
83099;83099;83018;1052;1382;906;906;11;37;24;0;;;;;22;83099;83018;2:17:00 a.m.;7:47:00 a.m.;906;906
