Composition;ID A;ID D;Arrival;Departure;Track A;Track D;;;;;
83011;83011;83052;0;379;906;906;24;15;0;0;70
83058;83013;83058;30;482;906;906;0;37;0;0;109
83024;83013;83024;30;349;906;906;0;56;0;0;162
81002;81002;83048;55;335;104;906;15;49;24;0;101
83021;83021;83056;88;439;906;906;11;37;0;0;109
80428;80428;80457;115;288;104;104;11;37;0;0;109
80428;80428;80457;115;288;104;104;11;37;0;0;109
80206;80206;80207;129;351;104;104;26;20;24;0;101
83055;83055;83070;611;853;906;906;24;15;0;0;70
83059;83059;83018;627;1382;906;906;11;37;0;0;109
83049;83049;83086;693;1183;906;906;50;35;0;0;171
83057;83057;83082;709;815;906;906;14;56;26;0;162
83069;83069;83002;779;1216;906;906;0;56;0;0;154
83077;83077;83010;830;1271;906;906;11;37;0;90;109
83077;83077;83010;830;1271;906;906;14;56;26;0;162
83071;83071;83014;867;1323;906;906;14;56;0;0;162
78821;83067;78821;878;1249;906;104;0;56;0;0;162
83020;83067;83020;878;1233;906;906;0;37;0;0;109
78810;83079;78810;885;1210;906;906;0;20;0;0;101
83008;83079;83008;885;1259;906;906;0;30;0;0;140
83007;83007;83004;980;1236;906;906;11;37;0;0;109
83007;83007;83004;980;1236;906;906;11;37;0;0;109
78884;78884;83004;996;1239;906;906;11;37;0;0;109
83003;83003;83006;1012;1244;906;906;24;15;0;0;70
83003;83003;83006;1012;1244;906;906;50;35;0;0;171
83099;83099;83016;1052;1352;906;906;11;37;0;0;109
