Composition;ID A;ID D;Arrival;Departure;Track A;Track D
83011;83011;83052;0;379;906;906
83058;83013;83058;28;482;906;906
83024;83013;83024;28;349;906;906
81002;81002;83048;55;335;104;906
83021;83021;83056;88;439;906;906
80428;80428;80457;113;291;104;104
80206;80206;80207;129;351;104;104
83055;83055;83070;611;853;906;906
83059;83059;83016;627;1352;906;906
83049;83049;83086;693;1183;906;906
83057;83057;83082;709;815;906;906
83069;83069;83002;779;1216;906;906
83077;83077;83010;828;1274;906;906
83071;83071;78821;867;1249;906;104
83014;83067;83014;876;1323;906;906
83067;83067;83004;876;1239;906;906
78810;83079;78810;883;1210;906;906
83008;83079;83008;883;1259;906;906
83007;83007;83004;978;1239;906;906
78884;78884;83020;996;1233;906;906
83003;83003;83006;1010;1247;906;906
83099;83099;83018;1052;1382;906;906
