treinnummer;materieelsoort;aantal bakken;"positie van treinstel in trein (0: enkel; 1: voor; 500: midden; 998: achter)"
Train number;Rolling stock type;Nr Carriages;Position of carriage within composition. 0=single, 1=front, 500=middle, 998=rear
83011;SLT;4;0
83013;VIRM;4;1
83013;VIRM;6;998
83052;SLT;4;0
83058;VIRM;4;0
83024;VIRM;6;0
81002;DDZ;4;0
83021;VIRM;4;0
80428;VIRM;4;1
80428;VIRM;4;998
80206;SLT;6;0
83055;SLT;4;0
83059;VIRM;4;0
83049;SLT;6;1
83049;SLT;4;998
83057;VIRM;6;0
83069;DDZ;6;0
83077;VIRM;4;1
83077;VIRM;6;998
83071;VIRM;6;0
83067;VIRM;6;1
83067;VIRM;4;998
83079;SLT;4;1
83079;SLT;4;500
83079;SLT;6;998
83007;VIRM;4;1
83007;VIRM;4;998
78884;VIRM;4;0
83003;SLT;6;1
83003;SLT;4;500
83003;SLT;4;998
83099;VIRM;4;0
83048;DDZ;4;0
83056;VIRM;4;0
80457;VIRM;4;998
80457;VIRM;4;1
80207;SLT;6;0
83070;SLT;4;0
83018;VIRM;4;0
83086;SLT;6;998
83086;SLT;4;1
83082;VIRM;6;0
83002;DDZ;6;0
83010;VIRM;4;998
83010;VIRM;6;1
83014;VIRM;6;0
78821;VIRM;6;0
83020;VIRM;4;0
83008;SLT;4;998
83008;SLT;4;1
78810;SLT;6;0
83004;VIRM;4;998
83004;VIRM;4;500
83004;VIRM;4;1
83006;SLT;6;998
83006;SLT;4;500
83006;SLT;4;1
83016;VIRM;4;0
